OM_CATEGORY_LABEL,FSQ_BEST_LABEL,FSQ_BEST_ID,FSQ_BEST_PRIMARY,FSQ_BEST_SECONDARY,BEST_SCORE,FSQ_ALT1_LABEL,ALT1_ID,ALT1_SCORE,FSQ_ALT2_LABEL,ALT2_ID,ALT2_SCORE,NEEDS_REVIEW
housing_cooperative,Community and Government > Housing Development,12079,Community and Government , Housing Development,61.1,Business and Professional Services > Office > Corporate Housing Agency,11127,60.5,Community and Government > Housing Authority,12078,59.4,TRUE
costume_museum,Arts and Entertainment > Museum,10027,Arts and Entertainment , Museum,79.2,Retail > Costume Store,17031,72.4,Arts and Entertainment > Museum > Art Museum,10028,70.3,TRUE
dance_school,Community and Government > Education > Trade School,12063,Community and Government , Education ,76.4,Community and Government > Education > Language School,12053,74.6,Community and Government > Education > Primary and Secondary School > Middle School,12060,74.1,TRUE
animation_studio,Sports and Recreation > Gym and Studio,18021,Sports and Recreation , Gym and Studio,67.5,Business and Professional Services > Art Studio,11005,67.5,Sports and Recreation > Gym and Studio > Yoga Studio,18028,66.6,TRUE
childrens_museum,Arts and Entertainment > Museum,10027,Arts and Entertainment , Museum,76.4,Arts and Entertainment > Museum > Science Museum,10031,67.6,Arts and Entertainment > Museum > Art Museum,10028,66.2,TRUE
karaoke_rental,Dining and Drinking > Bar > Karaoke Bar,13015,Dining and Drinking , Bar ,74.3,Travel and Transportation > Bike Rental,19002,72.1,Arts and Entertainment > Karaoke Box,10021,71.4,TRUE
drama_school,Arts and Entertainment > Samba School,10050,Arts and Entertainment , Samba School,79.5,Community and Government > Education > Art School,12011,74.5,Community and Government > Education > College and University > Law School,12044,74.5,TRUE
bingo_hall,Business and Professional Services > Wedding Hall,11177,Business and Professional Services , Wedding Hall,73.7,Community and Government > Spiritual Center > Kingdom Hall,12104,72.5,Community and Government > Town Hall,12124,66.5,TRUE
grain_production,Community and Government > Education,12009,Community and Government , Education,58.6,Retail > Sporting Goods Retail,17117,54.0,Retail > Auction House,17004,53.8,TRUE
civilization_museum,Arts and Entertainment > Museum,10027,Arts and Entertainment , Museum,72.0,Arts and Entertainment > Museum > Art Museum,10028,63.4,Arts and Entertainment > Museum > Erotic Museum,10029,59.4,TRUE
commercial_vehicle_dealer,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,11147,Business and Professional Services , Real Estate Service ,64.5,Retail > Automotive Retail > Car Dealership,17006,58.8,Retail > Automotive Retail > Car Dealership > Used Car Dealership,17010,56.7,TRUE
emissions_inspection,Business and Professional Services > Home Improvement Service > Home Inspection,11088,Business and Professional Services , Home Improvement Service ,74.8,Business and Professional Services > Automotive Service > Vehicle Inspection Station,11018,66.5,Travel and Transportation > Road > Intersection,19061,56.1,TRUE
b2b_forklift_dealers,Retail > Automotive Retail > Car Dealership,17006,Retail , Automotive Retail ,53.2,Retail > Automotive Retail > Motorcycle Dealership,17012,52.5,Retail > Automotive Retail > Moped Dealership,17140,51.6,TRUE
foundation_repair,Retail > Fashion Retail,17039,Retail , Fashion Retail,65.2,Landmarks and Outdoors > Park > National Park,16034,60.0,Retail > Floating Market,17055,57.5,TRUE
coin_dealers,Retail > Automotive Retail > Car Dealership,17006,Retail , Automotive Retail ,63.7,Retail > Automotive Retail > Car Dealership > New Car Dealership,17008,59.6,Retail > Automotive Retail > Car Dealership > Used Car Dealership,17010,58.8,TRUE
trailer_dealer,Community and Government > Trailer Park,12114,Community and Government , Trailer Park,73.8,Retail > Automotive Retail > Motor Scooter Dealership,17141,60.5,Retail > Automotive Retail > Motorcycle Dealership,17012,60.1,TRUE
b2b_equipment_maintenance_and_repair,Business and Professional Services > Home Improvement Service > Swimming Pool Maintenance and Service,11100,Business and Professional Services , Home Improvement Service ,61.5,Business and Professional Services > Equipment Rental Service,11037,56.1,Business and Professional Services > Industrial Equipment Supplier,11105,54.1,TRUE
wheel_and_rim_repair,Business and Professional Services > Repair Service,11157,Business and Professional Services , Repair Service,61.1,Business and Professional Services > Automotive Service > Tire Repair Shop,11015,60.6,Business and Professional Services > Shoe Repair Service,11164,59.3,TRUE
auto_customization,Community and Government > Organization,12082,Community and Government , Organization,58.2,Travel and Transportation > Fuel Station,19007,56.7,Travel and Transportation > Transport Hub > Metro Station,19046,55.3,TRUE
auto_glass_service,Business and Professional Services > Technology Business > IT Service,11108,Business and Professional Services , Technology Business ,70.2,Business and Professional Services > Pet Service,11133,68.3,Business and Professional Services > Legal Service,11111,67.0,TRUE
