category_label,category_primary
caterer,Food & Dining
champagne_bar,Food & Dining
cheese_shop,Food & Dining
cheesesteak_restaurant,Food & Dining
chicken_restaurant,Food & Dining
chicken_wings_restaurant,Food & Dining
chilean_restaurant,Food & Dining
chinese_restaurant,Food & Dining
cidery,Food & Dining
cigar_bar,Food & Dining
cocktail_bar,Food & Dining
coffee_roastery,Food & Dining
coffee_shop,Food & Dining
colombian_restaurant,Food & Dining
comfort_food_restaurant,Food & Dining
costa_rican_restaurant,Food & Dining
cuban_restaurant,Food & Dining
cupcake_shop,Food & Dining
czech_restaurant,Food & Dining
danish_restaurant,Food & Dining
delicatessen,Food & Dining
desserts,Food & Dining
dim_sum_restaurant,Food & Dining
diner,Food & Dining
distillery,Food & Dining
dive_bar,Food & Dining
diy_foods_restaurant,Food & Dining
dominican_restaurant,Food & Dining
doner_kebab,Food & Dining
donuts,Food & Dining
drive_thru_bar,Food & Dining
dumpling_restaurant,Food & Dining
eastern_european_restaurant,Food & Dining
eat_and_drink,Food & Dining
ecuadorian_restaurant,Food & Dining
egyptian_restaurant,Food & Dining
empanadas,Food & Dining
ethiopian_restaurant,Food & Dining
european_restaurant,Food & Dining
falafel_restaurant,Food & Dining
fast_food_restaurant,Food & Dining
filipino_restaurant,Food & Dining
fish_and_chips_restaurant,Food & Dining
fish_restaurant,Food & Dining
flatbread_restaurant,Food & Dining
fondue_restaurant,Food & Dining
food,Food & Dining
food_and_beverage_consultant,Food & Dining
food_and_beverage_exporter,Food & Dining
food_banks,Food & Dining
food_beverage_service_distribution,Business-to-Business
food_consultant,Food & Dining
food_court,Food & Dining
food_delivery_service,Food & Dining
food_safety_training,Food & Dining
food_stand,Food & Dining
food_tours,Food & Dining
food_truck,Food & Dining
french_restaurant,Food & Dining
frozen_foods,Food & Dining
frozen_yoghurt_shop,Food & Dining
game_publisher,Food & Dining
gastropub,Food & Dining
gay_bar,Food & Dining
gelato,Food & Dining
georgian_restaurant,Food & Dining
german_restaurant,Food & Dining
gluten_free_restaurant,Food & Dining
greek_restaurant,Food & Dining
guatemalan_restaurant,Food & Dining
haitian_restaurant,Food & Dining
halal_restaurant,Food & Dining
hawaiian_restaurant,Food & Dining
health_food_restaurant,Food & Dining
health_food_store,Food & Dining
himalayan_nepalese_restaurant,Food & Dining
honduran_restaurant,Food & Dining
hong_kong_style_cafe,Food & Dining
hookah_bar,Food & Dining
hot_dog_restaurant,Food & Dining
hotel_bar,Food & Dining
hungarian_restaurant,Food & Dining
iberian_restaurant,Food & Dining
ice_cream_and_frozen_yoghurt,Food & Dining
ice_cream_shop,Food & Dining
imported_food,Food & Dining
indian_restaurant,Food & Dining
indo_chinese_restaurant,Food & Dining
indonesian_restaurant,Food & Dining
international_restaurant,Food & Dining
internet_cafe,Food & Dining
irish_pub,Food & Dining
irish_restaurant,Food & Dining
israeli_restaurant,Food & Dining
italian_restaurant,Food & Dining
jamaican_restaurant,Food & Dining
japanese_restaurant,Food & Dining
kombucha,Food & Dining
korean_restaurant,Food & Dining
kosher_restaurant,Food & Dining
kurdish_restaurant,Food & Dining
laotian_restaurant,Food & Dining
latin_american_restaurant,Food & Dining
lebanese_restaurant,Food & Dining
live_and_raw_food_restaurant,Food & Dining
lounge,Food & Dining
malaysian_restaurant,Food & Dining
meat_restaurant,Food & Dining
meat_shop,Food & Dining
mediterranean_restaurant,Food & Dining
mexican_restaurant,Food & Dining
middle_eastern_restaurant,Food & Dining
molecular_gastronomy_restaurant,Food & Dining
mongolian_restaurant,Food & Dining
moroccan_restaurant,Food & Dining
nicaraguan_restaurant,Food & Dining
nigerian_restaurant,Food & Dining
noodles_restaurant,Food & Dining
oxygen_bar,Food & Dining
pakistani_restaurant,Food & Dining
pan_asian_restaurant,Food & Dining
panamanian_restaurant,Food & Dining
pancake_house,Food & Dining
paraguayan_restaurant,Food & Dining
pasta_shop,Food & Dining
patisserie_cake_shop,Food & Dining
persian_iranian_restaurant,Food & Dining
peruvian_restaurant,Food & Dining
piano_bar,Food & Dining
pie_shop,Food & Dining
pizza_delivery_service,Food & Dining
pizza_restaurant,Food & Dining
poke_restaurant,Food & Dining
polish_restaurant,Food & Dining
polynesian_restaurant,Food & Dining
pop_up_restaurant,Food & Dining
popcorn_shop,Food & Dining
portuguese_restaurant,Food & Dining
potato_restaurant,Food & Dining
poutinerie_restaurant,Food & Dining
pretzels,Food & Dining
pub,Food & Dining
public_adjuster,Food & Dining
public_and_government_association,Food & Dining
public_bath_houses,Food & Dining
public_health_clinic,Food & Dining
public_market,Food & Dining
public_plaza,Food & Dining
public_relations,Food & Dining
public_restrooms,Food & Dining
public_school,Food & Dining
public_service_and_government,Food & Dining
public_toilet,Food & Dining
public_transportation,Food & Dining
public_utility_company,Food & Dining
publicity_service,Food & Dining
