OM_CATEGORY_LABEL,OM_SIMPLIFIED_CATEGORY,OM_UPDATED_CATEGORY,FSQ_CATEGORY_ID,FSQ_CATEGORY_LABEL,FSQ_CATEGORY_PRIMARY,FSQ_CATEGORY_SECONDARY,MATCH_SCORE,MATCHED_TEXT,ALTERNATES
henna_artist,Arts & Entertainment,Arts & Entertainment,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,68.4,bar,Dining and Drinking > Bar (ID 13003) [68.4]; Health and Medicine > Dentist (ID 15007) [65.45454545454547]; Business and Professional Services > Financial Service > Banking and Finance > ATM (ID 11044) [60.00000000000001]; Dining and Drinking > Restaurant > Bistro (ID 13027) [60.00000000000001]; Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Chinese Aristocrat Restaurant (ID 13104) [60.00000000000001]
crops_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,78.75,education,Community and Government > Education (ID 12009) [78.75]; Business and Professional Services > Construction (ID 11028) [71.42857142857143]; Landmarks and Outdoors > States and Municipalities > Town (ID 16067) [67.5]; Travel and Transportation > Road (ID 19060) [67.5]; Retail > Construction Supplies Store (ID 17028) [64.28571428571429]
choir,Arts & Entertainment,Arts & Entertainment,15006,Health and Medicine > Chiropractor,Health and Medicine , Chiropractor,80.0,chiropractor,Health and Medicine > Chiropractor (ID 15006) [80.0]; Sports and Recreation > Snow Sports > Ski Resort and Area > Ski Chairlift (ID 18083) [72.0]; Business and Professional Services > Child Care Service (ID 11025) [67.5]; Business and Professional Services > Home Improvement Service > Chimney Sweep (ID 11080) [67.5]; Business and Professional Services > Office > Corporate Cafeteria (ID 11125) [67.5]
adult_entertainment,Arts & Entertainment,Arts & Entertainment,10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park,85.5,arts and entertainment amusement park,Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Aquarium (ID 10002) [85.5]; Arts and Entertainment > Arcade (ID 10003) [85.5]; Arts and Entertainment > Art Gallery (ID 10004) [85.5]; Arts and Entertainment > Bingo Center (ID 10005) [85.5]
entertainment_law,Arts & Entertainment,Arts & Entertainment,10001,Arts and Entertainment > Amusement Park,Arts and Entertainment , Amusement Park,85.5,arts and entertainment amusement park,Arts and Entertainment > Amusement Park (ID 10001) [85.5]; Arts and Entertainment > Aquarium (ID 10002) [85.5]; Arts and Entertainment > Arcade (ID 10003) [85.5]; Arts and Entertainment > Art Gallery (ID 10004) [85.5]; Arts and Entertainment > Bingo Center (ID 10005) [85.5]
orchards_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,78.75,education,Community and Government > Education (ID 12009) [78.75]; Landmarks and Outdoors > States and Municipalities > Town (ID 16067) [67.5]; Travel and Transportation > Road (ID 19060) [67.5]; Business and Professional Services > Construction (ID 11028) [63.0]; Arts and Entertainment > Arcade (ID 10003) [60.00000000000001]
commissioned_artist,Arts & Entertainment,Arts & Entertainment,13003,Dining and Drinking > Bar,Dining and Drinking , Bar,68.4,bar,Dining and Drinking > Bar (ID 13003) [68.4]; Dining and Drinking > Bar > Wine Bar (ID 13025) [67.5]; Event > Line (ID 14008) [67.5]; Health and Medicine > Dentist (ID 15007) [65.45454545454547]; Business and Professional Services > Financial Service > Banking and Finance > ATM (ID 11044) [60.00000000000001]
video_film_production,Arts & Entertainment,Arts & Entertainment,11041,Business and Professional Services > Film Studio,Business and Professional Services , Film Studio,85.5,business and professional services film studio,Business and Professional Services > Film Studio (ID 11041) [85.5]; Retail > Computers and Electronics Retail > Video Games Store (ID 17027) [85.5]; Retail > Video Store (ID 17137) [85.5]; Community and Government > Education (ID 12009) [78.75]; Landmarks and Outdoors > States and Municipalities > Town (ID 16067) [67.5]
recording_and_rehearsal_studio,Arts & Entertainment,Arts & Entertainment,10025,Arts and Entertainment > Movie Theater > Drive-in Theater,Arts and Entertainment , Movie Theater ,85.5,arts and entertainment movie theater drive in theater,Arts and Entertainment > Movie Theater > Drive-in Theater (ID 10025) [85.5]; Arts and Entertainment > Movie Theater > Indie Movie Theater (ID 10026) [85.5]; Arts and Entertainment > Performing Arts Venue > Amphitheater (ID 10036) [85.5]; Arts and Entertainment > Performing Arts Venue > Concert Hall (ID 10037) [85.5]; Arts and Entertainment > Performing Arts Venue > Indie Theater (ID 10038) [85.5]
rodeo,Arts & Entertainment,Arts & Entertainment,13019,Dining and Drinking > Bar > Rooftop Bar,Dining and Drinking , Bar ,67.5,rooftop bar,"Dining and Drinking > Bar > Rooftop Bar (ID 13019) [67.5]; Landmarks and Outdoors > Roof Deck (ID 16045) [67.5]; Travel and Transportation > Road (ID 19060) [66.66666666666667]; Dining and Drinking > Cafe, Coffee, and Tea House > Tea Room (ID 13036) [64.125]; Retail > Computers and Electronics Retail > Video Games Store (ID 17027) [64.125]"
