OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary
vehicle_wrap,Automotive,Automotive,Business and Professional Services
mobile_phone_repair,Automotive,Automotive,Business and Professional Services
recreational_vehicle_parts_and_accessories,Automotive,Automotive,Business and Professional Services
b2b_tires,Automotive,Business-to-Business,Business and Professional Services
washer_and_dryer_repair_service,Automotive,Automotive,Business and Professional Services
recreational_vehicle_dealer,Automotive,Automotive,Business and Professional Services
vehicle_shipping,Automotive,Automotive,Business and Professional Services
watch_repair_service,Automotive,Automotive,Business and Professional Services
automotive_consultant,Automotive,Automotive,Business and Professional Services
windshield_installation_and_repair,Automotive,Automotive,Business and Professional Services
gas_station,Automotive,Automotive,Business and Professional Services
auto_insurance,Automotive,Automotive,Business and Professional Services
art_restoration,Automotive,Automotive,Business and Professional Services
auto_electrical_repair,Automotive,Automotive,Business and Professional Services
scooter_dealers,Automotive,Automotive,Business and Professional Services
home_window_tinting,Automotive,Automotive,Business and Professional Services
bathtub_and_sink_repairs,Automotive,Automotive,Business and Professional Services
cable_car_service,Automotive,Automotive,Business and Professional Services
truck_gas_station,Automotive,Automotive,Business and Professional Services
damage_restoration,Automotive,Automotive,Business and Professional Services
auto_manufacturers_and_distributors,Automotive,Automotive,Business and Professional Services
motorcycle_repair,Automotive,Automotive,Business and Professional Services
car_sharing,Automotive,Automotive,Business and Professional Services
aircraft_dealer,Automotive,Automotive,Business and Professional Services
generator_installation_repair,Automotive,Automotive,Business and Professional Services
lawn_mower_repair_service,Automotive,Automotive,Business and Professional Services
automobile_leasing,Automotive,Automotive,Business and Professional Services
b2b_tractor_dealers,Automotive,Automotive,Business and Professional Services
motorsport_vehicle_dealer,Automotive,Automotive,Business and Professional Services
mobile_dent_repair,Automotive,Automotive,Business and Professional Services
livestock_dealers,Automotive,Automotive,Business and Professional Services
auto_company,Automotive,Automotive,Business and Professional Services
automobile_registration_service,Automotive,Automotive,Business and Professional Services
transmission_repair,Automotive,Automotive,Business and Professional Services
fuel_dock,Automotive,Automotive,Business and Professional Services
ceiling_and_roofing_repair_and_service,Automotive,Construction & Contractors,Business and Professional Services
town_car_service,Automotive,Automotive,Business and Professional Services
mechanical_engineers,Automotive,Automotive,Business and Professional Services
engine_repair_service,Automotive,Automotive,Business and Professional Services
automotive_storage_facility,Automotive,Automotive,Business and Professional Services
auto_restoration_services,Automotive,Automotive,Business and Professional Services
appliance_repair_service,Automotive,Automotive,Business and Professional Services
furniture_reupholstery,Automotive,Automotive,Business and Professional Services
auto_upholstery,Automotive,Automotive,Business and Professional Services
trailer_repair,Automotive,Automotive,Business and Professional Services
oil_change_station,Automotive,Automotive,Business and Professional Services
motorcycle_manufacturer,Automotive,Automotive,Business and Professional Services
game_truck_rental,Automotive,Automotive,Business and Professional Services
golf_cart_dealer,Automotive,Automotive,Business and Professional Services
eyelash_service,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
muay_thai_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
boot_camp,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
martial_arts_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
boxing_class,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
laser_hair_removal,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
nutritionist,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
coworking_space,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
makerspace,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
beauty_salon,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
tattoo_removal,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
kickboxing_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
aerial_fitness_center,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
reiki,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
shared_office_space,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
hair_extensions,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
boudoir_photography,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
yoga_instructor,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
fitness_trainer,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
beauty_and_spa,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
karate_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
tanning_bed,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
fitness_exercise_equipment,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
hair_salon,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
gymnastics_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
float_spa,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
eyebrow_service,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
hair_removal,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
skin_care,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
hair_loss_center,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
esthetician,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
gym,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
dietitian,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
day_spa,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
blow_dry_blow_out_service,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
tattoo_and_piercing,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
piercing,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
pilates_studio,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
venue_and_event_space,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
massage,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
gymnastics_center,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
horse_trainer,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
weight_loss_center,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
nail_salon,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
tattoo,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
sauna,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
chinese_martial_arts_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
art_space_rental,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
sports_and_fitness_instruction,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
fitness_equipment_wholesaler,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
yoga_studio,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
brazilian_jiu_jitsu_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
dog_trainer,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
tanning_salon,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
waxing,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
threading_service,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
sugaring,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
spray_tanning,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
hair_stylist,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
spas,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
boxing_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
kids_hair_salon,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
rock_climbing_gym,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
taekwondo_club,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
newspaper_advertising,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
cosmetic_and_beauty_supplies,Beauty & Wellness,Beauty & Wellness,Business and Professional Services
