OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_Primary,FSQ_Category_ID,FSQ_Category_Label,Confidence_Score,Match_Quality,Match_Method
photography_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.985,EXCELLENT,LOGICAL
broadcasting_media_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment,0.742,FAIR,LOGICAL
national_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.985,EXCELLENT,LOGICAL
theatrical_productions,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment,0.722,FAIR,LOGICAL
aviation_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.985,EXCELLENT,LOGICAL
outdoor_movies,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater,0.744,FAIR,LOGICAL
aquarium_services,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10002,Arts and Entertainment > Aquarium,0.985,EXCELLENT,LOGICAL
decorative_arts_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum,0.835,GOOD,LOGICAL
music_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue,0.852,GOOD,LOGICAL
magician,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10046,Arts and Entertainment > Psychic and Astrologer,0.732,FAIR,LOGICAL
theaters_and_performance_venues,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater,0.738,FAIR,LOGICAL
art_tours,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10004,Arts and Entertainment > Art Gallery,0.850,GOOD,LOGICAL
petting_zoo,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10056,Arts and Entertainment > Zoo,0.841,GOOD,LOGICAL
cinema,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater,0.738,FAIR,LOGICAL
movie_television_studio,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11005,Business and Professional Services > Art Studio,0.818,GOOD,LOGICAL
housing_cooperative,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12082,Community and Government > Organization,0.739,FAIR,LOGICAL
costume_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.985,EXCELLENT,LOGICAL
dance_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12011,Community and Government > Education > Art School,0.877,GOOD,LOGICAL
science_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10031,Arts and Entertainment > Museum > Science Museum,1.000,EXCELLENT,LOGICAL
animation_studio,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,11005,Business and Professional Services > Art Studio,0.873,GOOD,LOGICAL
childrens_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.985,EXCELLENT,LOGICAL
music_venue,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10039,Arts and Entertainment > Performing Arts Venue > Music Venue,1.000,EXCELLENT,LOGICAL
art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum,1.000,EXCELLENT,LOGICAL
arcade,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10003,Arts and Entertainment > Arcade,1.000,EXCELLENT,LOGICAL
circus_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10009,Arts and Entertainment > Circus,0.985,EXCELLENT,LOGICAL
karaoke_rental,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10021,Arts and Entertainment > Karaoke Box,0.867,GOOD,LOGICAL
military_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,0.985,EXCELLENT,LOGICAL
botanical_garden,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10000,Arts and Entertainment,0.732,FAIR,LOGICAL
fair,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10017,Arts and Entertainment > Fair,1.000,EXCELLENT,LOGICAL
drama_school,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,12011,Community and Government > Education > Art School,0.877,GOOD,LOGICAL
bingo_hall,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10005,Arts and Entertainment > Bingo Center,0.855,GOOD,LOGICAL
modern_art_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10028,Arts and Entertainment > Museum > Art Museum,0.985,EXCELLENT,LOGICAL
casino,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10008,Arts and Entertainment > Casino,1.000,EXCELLENT,LOGICAL
grain_production,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,16014,Landmarks and Outdoors > Farm,0.728,FAIR,LOGICAL
museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10027,Arts and Entertainment > Museum,1.000,EXCELLENT,LOGICAL
civilization_museum,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10030,Arts and Entertainment > Museum > History Museum,0.863,GOOD,LOGICAL
dinner_theater,Arts & Entertainment,Arts & Entertainment,Arts and Entertainment,10024,Arts and Entertainment > Movie Theater,0.879,GOOD,LOGICAL
commercial_vehicle_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership,0.739,FAIR,LOGICAL
emissions_inspection,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station,0.828,GOOD,LOGICAL
b2b_forklift_dealers,Automotive,Business-to-Business,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership,0.764,GOOD,LOGICAL
foundation_repair,Automotive,Automotive,Business and Professional Services,11028,Business and Professional Services > Construction,0.750,FAIR,LOGICAL
coin_dealers,Automotive,Automotive,Business and Professional Services,11000,Business and Professional Services,0.752,GOOD,LOGICAL
shoe_repair,Automotive,Automotive,Business and Professional Services,11164,Business and Professional Services > Shoe Repair Service,0.985,EXCELLENT,LOGICAL
hydraulic_repair_service,Automotive,Automotive,Business and Professional Services,11027,Business and Professional Services > Computer Repair Service,0.902,EXCELLENT,LOGICAL
trailer_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership,0.754,GOOD,LOGICAL
b2b_equipment_maintenance_and_repair,Automotive,Business-to-Business,Business and Professional Services,11100,Business and Professional Services > Home Improvement Service > Swimming Pool Maintenance and Service,0.814,GOOD,LOGICAL
automotive_parts_and_accessories,Automotive,Automotive,Business and Professional Services,11009,Business and Professional Services > Automotive Service,0.827,GOOD,LOGICAL
wheel_and_rim_repair,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop,0.806,GOOD,LOGICAL
auto_customization,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop,0.734,FAIR,LOGICAL
auto_glass_service,Automotive,Automotive,Business and Professional Services,11010,Business and Professional Services > Automotive Service > Automotive Repair Shop,0.745,FAIR,LOGICAL
forklift_dealer,Automotive,Automotive,Business and Professional Services,17006,Retail > Automotive Retail > Car Dealership,0.746,FAIR,LOGICAL
car_inspection,Automotive,Automotive,Business and Professional Services,11018,Business and Professional Services > Automotive Service > Vehicle Inspection Station,0.832,GOOD,LOGICAL
media_restoration_service,Automotive,Automotive,Business and Professional Services,11004,Business and Professional Services > Art Restoration Service,0.925,EXCELLENT,LOGICAL
car_buyer,Automotive,Automotive,Business and Professional Services,11182,Business and Professional Services > Business Service,0.738,FAIR,LOGICAL
b2b_truck_equipment_parts_and_accessories,Automotive,Business-to-Business,Business and Professional Services,11032,Business and Professional Services > Electrical Equipment Supplier,0.794,GOOD,LOGICAL
